Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,cv,param_n_estimators
0.0,1.7209618091583252,0.0480957986521271,0.0938446044921875,0.0026930686472267,0.01,4,15,"{'learning_rate': 0.01, 'max_depth': 4, 'num_leaves': 15}",0.9783049721397246,0.978289153672455,0.978289153672455,0.9782851990556376,0.978293022446494,0.9782923001973532,6.801870607730023e-06,35,5,
1.0,1.6629250049591064,0.0622127690171711,0.0934127330780029,0.0041310550724576,0.01,4,31,"{'learning_rate': 0.01, 'max_depth': 4, 'num_leaves': 31}",0.9783049721397246,0.978289153672455,0.978289153672455,0.9782851990556376,0.978293022446494,0.9782923001973532,6.801870607730023e-06,35,5,
2.0,1.6562071323394776,0.0242911920617141,0.0956545352935791,0.0031286210517553,0.01,4,63,"{'learning_rate': 0.01, 'max_depth': 4, 'num_leaves': 63}",0.9783049721397246,0.978289153672455,0.978289153672455,0.9782851990556376,0.978293022446494,0.9782923001973532,6.801870607730023e-06,35,5,
3.0,1.946769189834595,0.0185385191164709,0.1095800876617431,0.0058789005386538,0.01,6,15,"{'learning_rate': 0.01, 'max_depth': 6, 'num_leaves': 15}",0.978289153672455,0.978289153672455,0.978289153672455,0.9782851990556376,0.9782890678140372,0.978288345577408,1.5736122658252563e-06,42,5,
4.0,2.1161639213562013,0.0177446054868465,0.1202373504638671,0.0044752511312699,0.01,6,31,"{'learning_rate': 0.01, 'max_depth': 6, 'num_leaves': 31}",0.9783168359901768,0.9783128813733594,0.9783207906069942,0.9783168359901768,0.9782969770789502,0.9783128642079314,8.328013837961746e-06,33,5,
5.0,2.342256259918213,0.0164096317873627,0.1258777618408203,0.0048266219808804,0.01,6,63,"{'learning_rate': 0.01, 'max_depth': 6, 'num_leaves': 63}",0.978368246008803,0.978328699840629,0.9783563821583507,0.978348472924716,0.978328614138602,0.97834608301422,1.5558397798909518e-05,31,5,
6.0,2.0276166439056396,0.0626010170465488,0.1096831321716308,0.0035548125445382,0.01,8,15,"{'learning_rate': 0.01, 'max_depth': 8, 'num_leaves': 15}",0.978289153672455,0.978289153672455,0.978289153672455,0.9782851990556376,0.9782890678140372,0.978288345577408,1.5736122658252563e-06,42,5,
7.0,2.4965395450592043,0.1385923838630535,0.1349454402923584,0.0100075558493943,0.01,8,31,"{'learning_rate': 0.01, 'max_depth': 8, 'num_leaves': 31}",0.978289153672455,0.978289153672455,0.978308926756542,0.9782851990556376,0.9782890678140372,0.9782923001942252,8.451251077721005e-06,38,5,
8.0,2.7970903873443604,0.0305643495070181,0.1604640007019043,0.0033814224066685,0.01,8,63,"{'learning_rate': 0.01, 'max_depth': 8, 'num_leaves': 63}",0.9783168359901768,0.9783326544574464,0.9783128813733594,0.9783563821583507,0.9783167502412324,0.9783271008441132,1.614269828362837e-05,32,5,
9.0,2.0046699047088623,0.020464244948507,0.1097031116485595,0.0042535064834566,0.01,12,15,"{'learning_rate': 0.01, 'max_depth': 12, 'num_leaves': 15}",0.978289153672455,0.978289153672455,0.978289153672455,0.9782851990556376,0.9782890678140372,0.978288345577408,1.5736122658252563e-06,42,5,
10.0,2.325797319412231,0.0146192879781089,0.1308188438415527,0.0050063953743556,0.01,12,31,"{'learning_rate': 0.01, 'max_depth': 12, 'num_leaves': 31}",0.978289153672455,0.978289153672455,0.9782931082892724,0.9782851990556376,0.9782890678140372,0.9782891365007714,2.501355059933316e-06,40,5,
11.0,2.8345001220703123,0.0223348439928245,0.1593385219573974,0.003331617151954,0.01,12,63,"{'learning_rate': 0.01, 'max_depth': 12, 'num_leaves': 63}",0.9782931082892724,0.9782970629060898,0.9783010175229072,0.978289153672455,0.9782890678140372,0.9782938820409524,4.629599266624801e-06,34,5,
12.0,2.000319576263428,0.0264314964289906,0.1103651046752929,0.005364297885397,0.01,16,15,"{'learning_rate': 0.01, 'max_depth': 16, 'num_leaves': 15}",0.978289153672455,0.978289153672455,0.978289153672455,0.9782851990556376,0.9782890678140372,0.978288345577408,1.5736122658252563e-06,42,5,
13.0,2.315818452835083,0.0339688839379083,0.131290578842163,0.007001870590668,0.01,16,31,"{'learning_rate': 0.01, 'max_depth': 16, 'num_leaves': 31}",0.978289153672455,0.978289153672455,0.9782931082892724,0.9782851990556376,0.9782890678140372,0.9782891365007714,2.501355059933316e-06,40,5,
14.0,2.8001667499542235,0.0174644255800991,0.1604784488677978,0.0043325637962331,0.01,16,63,"{'learning_rate': 0.01, 'max_depth': 16, 'num_leaves': 63}",0.9782931082892724,0.978289153672455,0.9783010175229072,0.978289153672455,0.9782890678140372,0.9782923001942252,4.623728303730551e-06,38,5,
15.0,1.712071418762207,0.0371121388431273,0.104698896408081,0.0032133936298043,0.1,4,15,"{'learning_rate': 0.1, 'max_depth': 4, 'num_leaves': 15}",0.979131487054562,0.9790603039518486,0.9790800770359356,0.9790958955032052,0.9791788601167408,0.9791093247324584,4.186919409333163e-05,30,5,
16.0,1.734717035293579,0.0453190301661224,0.1066579341888427,0.004722948730819,0.1,4,31,"{'learning_rate': 0.1, 'max_depth': 4, 'num_leaves': 31}",0.9791077593536576,0.9791393962881968,0.9791156685872924,0.9791512601386488,0.9792104971763924,0.9791449163088376,3.635280877083532e-05,28,5,
