,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,cv
0,0.0,21.373710346221923,0.475072923340454,1.1471595764160156,0.2016691253819325,0.05,4,200,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}",0.9823397247477392,0.9822954331317394,0.9823960958953752,0.9824282372268504,0.9823557597452014,0.982363050149381,4.584901706017531e-05,100,5
1,1.0,34.63341703414917,2.967990475922364,1.8166081428527832,0.2203894475107961,0.05,4,400,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 400}",0.9824846791273746,0.9824484405324656,0.9825933949121012,0.9826255370380064,0.982532926922566,0.9825369957065028,6.575110049224784e-05,99,5
2,2.0,47.969563722610474,5.013983606969304,2.8367053985595705,0.2297142486415457,0.05,4,600,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 600}",0.982702110696828,0.9826296335070102,0.9828309590342816,0.9828349164294372,0.9827020410464138,0.9827399321427942,8.0423747361907e-05,96,5
3,3.0,49.85881657600403,3.9008122037042794,2.9468390464782717,0.1002825449367136,0.05,4,650,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 650}",0.9827625083550092,0.9826860046546462,0.9828752506502816,0.9828953143308112,0.9827463328407549,0.9827930821663008,7.973572110193356e-05,94,5
4,4.0,55.92914128303528,4.922548756434132,3.252547836303711,0.278576754524011,0.05,4,700,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 700}",0.9828027734604636,0.982750428823373,0.982899409713554,0.9829073939110864,0.9828268633759204,0.9828373738568794,5.9360512123837384e-05,93,5
5,5.0,30.557685232162477,2.041275561019104,2.0493393421173094,0.0423193848838447,0.05,6,200,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}",0.9829034362240996,0.9829235687768266,0.9830604701353712,0.9830523488743844,0.9830241631870764,0.9829927974395516,6.616314961925958e-05,91,5
6,6.0,44.586391639709475,3.128445399289137,3.751914930343628,0.496600307741641,0.05,6,400,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400}",0.9835597574430048,0.9836805527593676,0.9838134276073668,0.9838012828514252,0.9837932297979086,0.9837296500918148,9.743342707878428e-05,86,5
7,7.0,61.21469712257385,3.5131817484833308,5.079519748687744,0.5095071977030334,0.05,6,600,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600}",0.984441563252454,0.984485854868454,0.9846147032059076,0.9847676492734132,0.9847434901128636,0.9846106521426188,0.0001315111013917,77,5
8,8.0,68.33628306388854,7.415970205780165,5.5593406677246096,0.5417211224966936,0.05,6,650,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 650}",0.984711339458998,0.9847234189906344,0.9848643468597243,0.985005214352152,0.9849649490845692,0.9848538537492156,0.0001205701954788,74,5
9,9.0,72.83732771873474,5.628185807662904,5.789538240432739,0.4345329019799009,0.05,6,700,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 700}",0.9848804529019062,0.984981115665542,0.9850254072815416,0.9853072038590232,0.9851823815295164,0.985075312247506,0.0001513745136352,72,5
10,10.0,37.91594099998474,1.8101381205940077,2.9158115863800047,0.2427508375830663,0.05,8,200,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200}",0.9846791273746346,0.9847757636277248,0.9848925324335424,0.9848119410677544,0.9847757023269298,0.9847870133661172,6.877433718879566e-05,75,5
11,11.0,57.811303520202635,2.3642582265032024,5.11803183555603,0.5339445174029211,0.05,8,400,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400}",0.9867890189004404,0.9869661853644396,0.9868010984320768,0.9871513531143172,0.9869178145623366,0.9869250940747222,0.0001317770927289,69,5
12,12.0,85.18305363655091,6.097604978186882,8.516841745376587,0.8811078358979342,0.05,8,600,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600}",0.9887700620887926,0.9886291342197026,0.9887217439622474,0.9888304147725212,0.9888787330936208,0.9887660176273768,8.667796839104559e-05,61,5
