,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,cv
0,21.373710346221923,0.475072923340454,1.1471595764160156,0.20166912538193252,0.05,4,200,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}",0.9823397247477391,0.9822954331317394,0.9823960958953751,0.9824282372268505,0.9823557597452014,0.982363050149381,4.584901706017531e-05,100,5
1,34.63341703414917,2.967990475922364,1.8166081428527832,0.22038944751079617,0.05,4,400,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 400}",0.9824846791273746,0.9824484405324657,0.9825933949121013,0.9826255370380064,0.9825329269225659,0.9825369957065029,6.575110049224784e-05,99,5
2,47.969563722610474,5.013983606969304,2.8367053985595705,0.22971424864154577,0.05,4,600,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 600}",0.9827021106968279,0.9826296335070102,0.9828309590342817,0.9828349164294371,0.9827020410464138,0.9827399321427942,8.0423747361907e-05,96,5
3,49.85881657600403,3.9008122037042794,2.9468390464782717,0.1002825449367136,0.05,4,650,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 650}",0.9827625083550093,0.9826860046546462,0.9828752506502815,0.9828953143308113,0.9827463328407549,0.9827930821663007,7.973572110193356e-05,94,5
4,55.92914128303528,4.922548756434132,3.252547836303711,0.278576754524011,0.05,4,700,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 700}",0.9828027734604637,0.982750428823373,0.982899409713554,0.9829073939110863,0.9828268633759205,0.9828373738568794,5.9360512123837384e-05,93,5
5,30.557685232162477,2.0412755610191042,2.0493393421173094,0.04231938488384473,0.05,6,200,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}",0.9829034362240995,0.9829235687768266,0.9830604701353712,0.9830523488743844,0.9830241631870764,0.9829927974395517,6.616314961925958e-05,91,5
6,44.586391639709475,3.1284453992891366,3.751914930343628,0.496600307741641,0.05,6,400,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400}",0.9835597574430047,0.9836805527593677,0.9838134276073669,0.9838012828514252,0.9837932297979086,0.9837296500918147,9.743342707878427e-05,86,5
7,61.21469712257385,3.5131817484833308,5.079519748687744,0.5095071977030334,0.05,6,600,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600}",0.9844415632524541,0.9844858548684539,0.9846147032059077,0.9847676492734132,0.9847434901128636,0.9846106521426187,0.0001315111013917151,77,5
8,68.33628306388854,7.415970205780165,5.5593406677246096,0.5417211224966936,0.05,6,650,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 650}",0.984711339458998,0.9847234189906343,0.9848643468597245,0.9850052143521519,0.9849649490845691,0.9848538537492155,0.00012057019547888978,74,5
9,72.83732771873474,5.628185807662904,5.789538240432739,0.43453290197990097,0.05,6,700,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 700}",0.9848804529019062,0.9849811156655419,0.9850254072815416,0.9853072038590233,0.9851823815295164,0.9850753122475059,0.00015137451363522953,72,5
10,37.91594099998474,1.8101381205940075,2.9158115863800047,0.2427508375830663,0.05,8,200,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200}",0.9846791273746346,0.9847757636277249,0.9848925324335425,0.9848119410677544,0.9847757023269298,0.9847870133661172,6.877433718879566e-05,75,5
11,57.811303520202635,2.3642582265032024,5.11803183555603,0.5339445174029211,0.05,8,400,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400}",0.9867890189004405,0.9869661853644395,0.9868010984320768,0.9871513531143171,0.9869178145623366,0.9869250940747222,0.00013177709272895632,69,5
12,85.18305363655091,6.097604978186882,8.516841745376587,0.8811078358979342,0.05,8,600,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600}",0.9887700620887926,0.9886291342197026,0.9887217439622474,0.9888304147725213,0.9888787330936207,0.9887660176273769,8.667796839104559e-05,61,5
13,97.61702461242676,9.58548581274406,9.397323894500733,1.1801592857328107,0.05,8,650,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 650}",0.9891606336116995,0.9890881564218816,0.9891364745484268,0.9893417836708234,0.9893055449299988,0.989206518636566,9.912018960728917e-05,58,5
14,110.06617002487182,18.075944955497928,10.674475145339965,1.622877952025395,0.05,8,700,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 700}",0.9895914702400606,0.9895149665396974,0.9896277088349694,0.9897162506593438,0.9897041710790689,0.989630913470628,7.437585884132546e-05,56,5
15,58.751578617095944,0.9321112424702478,6.502211999893189,0.5105566368148594,0.05,12,200,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 200}",0.9914517181120497,0.9913550818589594,0.9913671613905957,0.9915402672808462,0.9912060655599086,0.9913840588404719,0.00011116262957503103,51,5
16,105.43252635002136,3.202068903324358,13.638262844085693,0.25087187848795006,0.05,12,400,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 400}",0.9936743519331277,0.9935092650007651,0.993481079426947,0.9933884430628984,0.9932676472601498,0.9934641573367775,0.0001347973948607282,42,5
17,154.1164222717285,2.088117796323279,19.58153314590454,0.32473417161849766,0.05,12,600,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 600}",0.9944917335738502,0.9943910708102145,0.9942984610676695,0.9941856953610385,0.993992422076641,0.9942718765778829,0.00017249528642561475,34,5
